# BUSCO version is: 5.8.2 
# The lineage dataset is: diptera_odb12 (Creation date: 2025-04-11, number of genomes: 76, number of BUSCOs: 5067)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
8at7147	Complete	OZ038374.1	145938822	145922644	-	416.1	239
225at7147	Complete	OZ038371.1	1828989	1827724	-	989.9	419
284at7147	Complete	OZ038373.1	109086604	109093868	+	404.7	182
421at7147	Complete	OZ038371.1	9987754	9988230	+	293.3	152
445at7147	Complete	OZ038376.1	23903231	23904407	+	727.0	338
452at7147	Complete	OZ038372.1	14502460	14565985	+	1296.2	620
511at7147	Complete	OZ038373.1	135355103	135356151	+	441.2	220
525at7147	Complete	OZ038375.1	115681820	115682125	+	164.8	81
540at7147	Complete	OZ038372.1	71118381	71117682	-	316.5	202
836at7147	Complete	OZ038375.1	27475247	27484751	+	1246.8	542
841at7147	Complete	OZ038373.1	132180486	132181621	+	548.1	283
908at7147	Duplicated	OZ038371.1	114839174	114838611	-	374.3	173
908at7147	Duplicated	OZ038371.1	5971230	5971915	+	366.5	172
962at7147	Complete	OZ038372.1	114567007	114565744	-	470.4	324
994at7147	Complete	OZ038373.1	4805783	4806532	+	389.0	194
1004at7147	Complete	OZ038372.1	141662683	141663665	+	477.2	304
1049at7147	Complete	OZ038376.1	24415786	24418136	+	814.3	384
1055at7147	Complete	OZ038373.1	148345477	148344410	-	621.8	336
1072at7147	Complete	OZ038371.1	217763674	217757853	-	653.0	357
1078at7147	Complete	OZ038372.1	139180273	139181204	+	602.2	273
1123at7147	Complete	OZ038373.1	118635485	118633163	-	665.6	378
1142at7147	Complete	OZ038373.1	124220046	124234242	+	298.7	136
1200at7147	Complete	OZ038374.1	108745826	108741602	-	395.5	200
1247at7147	Complete	OZ038371.1	186427095	186428635	+	962.7	480
1323at7147	Complete	OZ038374.1	28554201	28537891	-	372.2	159
1690at7147	Complete	OZ038375.1	56976693	57077439	+	1167.7	630
1854at7147	Complete	OZ038374.1	108803399	108801825	-	755.4	416
1907at7147	Complete	OZ038374.1	108288091	108292381	+	363.2	190
1914at7147	Complete	OZ038372.1	61088334	61087063	-	506.2	398
1984at7147	Complete	OZ038372.1	10746282	10749948	+	299.6	152
2041at7147	Complete	OZ038372.1	137529451	137530095	+	358.1	210
2067at7147	Complete	OZ038373.1	110255059	110285127	+	677.4	377
2304at7147	Duplicated	OZ038372.1	151192479	151192920	+	187.3	112
2304at7147	Duplicated	OZ038374.1	147494990	147494652	-	163.9	110
2306at7147	Complete	OZ038373.1	132595893	132603102	+	841.4	395
2332at7147	Complete	OZ038372.1	20928556	20936732	+	554.7	269
2339at7147	Complete	OZ038373.1	13130415	13131652	+	534.6	289
2552at7147	Complete	OZ038374.1	81880641	81948771	+	1305.4	652
2609at7147	Complete	OZ038375.1	91699925	91683638	-	344.9	172
2610at7147	Complete	OZ038375.1	10718127	10729729	+	412.3	218
2635at7147	Complete	OZ038372.1	12559455	12565378	+	448.3	273
2697at7147	Complete	OZ038372.1	35021122	35015134	-	1156.6	561
2709at7147	Complete	OZ038375.1	16768017	16818071	+	1115.4	514
2727at7147	Complete	OZ038372.1	21082005	21080366	-	928.3	490
2881at7147	Complete	OZ038372.1	9668629	9668063	-	244.8	166
2904at7147	Complete	OZ038373.1	84998401	85013960	+	1065.3	549
2908at7147	Complete	OZ038373.1	107013058	107040249	+	2159.5	1110
2969at7147	Complete	OZ038374.1	79044759	79068923	+	1272.1	620
3120at7147	Complete	OZ038375.1	89109090	89108792	-	128.1	67
3219at7147	Complete	OZ038374.1	41371597	41369783	-	992.4	477
3282at7147	Complete	OZ038373.1	89812099	89812598	+	256.3	147
3308at7147	Complete	OZ038374.1	143921474	143922250	+	320.9	242
3333at7147	Complete	OZ038372.1	128862671	128868262	+	756.3	495
3410at7147	Complete	OZ038373.1	27039336	27048599	+	574.2	300
3413at7147	Complete	OZ038371.1	200897046	200898077	+	662.2	325
3474at7147	Complete	OZ038371.1	41687476	41688318	+	391.7	240
3577at7147	Complete	OZ038373.1	129141990	129141578	-	231.8	120
3788at7147	Complete	OZ038372.1	8259616	8258889	-	338.5	186
3828at7147	Complete	OZ038372.1	149981860	149974568	-	384.8	187
3874at7147	Complete	OZ038372.1	156944943	156915610	-	312.9	146
4069at7147	Complete	OZ038373.1	130337581	130342748	+	401.8	269
4073at7147	Complete	OZ038374.1	147639265	147637572	-	1004.3	511
4095at7147	Complete	OZ038373.1	132768740	132767197	-	736.6	371
4164at7147	Complete	OZ038371.1	180952579	180945761	-	229.1	117
4211at7147	Complete	OZ038372.1	138836712	138837071	+	164.2	114
4218at7147	Complete	OZ038371.1	7888516	7882780	-	847.7	434
4274at7147	Complete	OZ038375.1	94503349	94501220	-	1011.0	587
4353at7147	Complete	OZ038372.1	158541906	158529595	-	977.4	503
4421at7147	Complete	OZ038373.1	213703	215550	+	889.8	520
4470at7147	Complete	OZ038372.1	32003704	32026161	+	1118.3	562
4511at7147	Complete	OZ038371.1	172545795	172546619	+	477.1	219
4573at7147	Complete	OZ038371.1	117556013	117750817	+	1072.3	537
4606at7147	Complete	OZ038371.1	174513145	174488262	-	1381.8	679
4667at7147	Complete	OZ038375.1	102125544	102123523	-	1013.0	513
4829at7147	Complete	OZ038372.1	28333320	28320850	-	5620.4	2319
4932at7147	Complete	OZ038374.1	134199702	134190868	-	814.7	416
5213at7147	Complete	OZ038371.1	216719805	216720563	+	371.2	188
5225at7147	Complete	OZ038375.1	23681250	23680766	-	235.2	114
5241at7147	Complete	OZ038371.1	3613363	3614530	+	530.6	328
5263at7147	Complete	OZ038371.1	148327953	148341210	+	991.9	471
5433at7147	Complete	OZ038371.1	41762424	41763161	+	313.7	204
5488at7147	Complete	OZ038375.1	11896410	11895586	-	269.5	240
5674at7147	Complete	OZ038371.1	3088290	3087472	-	469.3	245
5711at7147	Complete	OZ038375.1	24465738	24461283	-	412.7	353
5723at7147	Complete	OZ038374.1	32112493	32130903	+	406.2	273
5768at7147	Complete	OZ038372.1	26446789	26442467	-	318.8	333
5780at7147	Complete	OZ038372.1	148886158	148881925	-	704.5	443
5845at7147	Complete	OZ038371.1	131226383	131245916	+	760.9	522
5858at7147	Complete	OZ038371.1	108496630	108495980	-	257.1	198
5978at7147	Complete	OZ038376.1	12713260	12704102	-	998.1	523
6130at7147	Complete	OZ038374.1	138572102	138571563	-	251.2	168
6240at7147	Complete	OZ038371.1	41271786	41318248	+	801.0	422
6256at7147	Complete	OZ038373.1	72586890	72592081	+	1039.7	680
6718at7147	Complete	OZ038372.1	1424148	1430573	+	872.9	538
6736at7147	Complete	OZ038373.1	138867509	138865728	-	966.5	459
6974at7147	Complete	OZ038371.1	192606431	192599685	-	1033.4	525
7054at7147	Complete	OZ038371.1	5875231	5869008	-	496.1	272
7326at7147	Complete	OZ038373.1	150607153	150616239	+	1304.7	910
7353at7147	Complete	OZ038376.1	20673433	20670098	-	1123.4	732
7355at7147	Complete	OZ038371.1	139713612	139715095	+	944.4	473
7470at7147	Complete	OZ038373.1	28190484	28208293	+	328.9	148
7527at7147	Complete	OZ038371.1	213907856	213914137	+	753.9	334
7563at7147	Complete	OZ038374.1	127146320	127108528	-	2120.8	1038
7677at7147	Complete	OZ038371.1	199186954	199208686	+	519.6	327
7764at7147	Complete	OZ038373.1	206710	209204	+	710.3	459
7798at7147	Complete	OZ038372.1	55032419	55016693	-	464.0	236
7971at7147	Complete	OZ038376.1	23980230	23981971	+	1007.1	491
8005at7147	Complete	OZ038374.1	28555010	28557567	+	710.2	391
8016at7147	Complete	OZ038375.1	42591961	42576742	-	1624.5	899
8037at7147	Complete	OZ038371.1	119033881	119005888	-	2333.9	994
8079at7147	Complete	OZ038374.1	1542947	1484789	-	2191.5	1071
8161at7147	Complete	OZ038371.1	116799554	116809427	+	967.0	701
8234at7147	Complete	OZ038375.1	45204306	45206135	+	828.7	549
8348at7147	Duplicated	OZ038375.1	6498473	6514598	+	676.8	386
8348at7147	Duplicated	OZ038374.1	84692876	84695276	+	636.6	375
8364at7147	Complete	OZ038371.1	9239882	9233039	-	391.9	229
8365at7147	Complete	OZ038372.1	51531534	51530746	-	290.1	236
8456at7147	Complete	OZ038374.1	130950641	130955485	+	521.2	341
8734at7147	Complete	OZ038374.1	137244197	137235887	-	1426.2	855
8741at7147	Complete	OZ038375.1	108121025	108125512	+	623.7	396
8776at7147	Complete	OZ038375.1	34804967	34803917	-	331.5	248
8873at7147	Complete	OZ038374.1	104908688	104891694	-	866.4	822
8933at7147	Complete	OZ038372.1	122928274	122930186	+	1095.9	542
8944at7147	Complete	OZ038371.1	35766433	35794039	+	401.8	301
8977at7147	Complete	OZ038375.1	21377383	21402262	+	1131.7	518
9125at7147	Complete	OZ038372.1	116907654	116881118	-	1906.6	1038
9191at7147	Complete	OZ038374.1	20316842	20315619	-	489.8	302
9356at7147	Complete	OZ038374.1	121397535	121407881	+	461.3	311
9394at7147	Complete	OZ038372.1	117989428	118016232	+	632.3	325
9406at7147	Complete	OZ038376.1	23094048	23104797	+	378.5	184
9425at7147	Complete	OZ038371.1	188410	189432	+	398.2	352
9487at7147	Complete	OZ038375.1	99529563	99528027	-	645.2	408
9678at7147	Complete	OZ038375.1	619708	622695	+	1010.1	474
9921at7147	Complete	OZ038373.1	132975236	132967215	-	305.7	259
9938at7147	Complete	OZ038372.1	23334375	23403132	+	4491.2	3011
10055at7147	Complete	OZ038371.1	35732817	35722601	-	1032.9	505
10097at7147	Complete	OZ038375.1	91470365	91469431	-	581.5	292
10198at7147	Complete	OZ038375.1	116918011	116919421	+	891.5	396
10247at7147	Complete	OZ038372.1	21530727	21582977	+	2423.9	1231
10407at7147	Complete	OZ038371.1	217769992	217770885	+	505.7	271
10408at7147	Complete	OZ038374.1	146249561	146240348	-	261.2	161
10443at7147	Complete	OZ038373.1	10845856	10838712	-	1757.2	1109
10456at7147	Complete	OZ038371.1	209692602	209691853	-	400.9	245
10522at7147	Complete	OZ038371.1	142529231	142513390	-	1035.7	677
10532at7147	Complete	OZ038372.1	5157989	5159333	+	762.9	389
10563at7147	Complete	OZ038371.1	7785903	7803776	+	3438.9	1587
10589at7147	Complete	OZ038372.1	8168020	8166812	-	468.2	358
10612at7147	Complete	OZ038374.1	126121245	126105018	-	1771.2	993
10620at7147	Complete	OZ038374.1	146212378	146211732	-	271.1	165
10654at7147	Complete	OZ038375.1	52600552	52599869	-	304.3	215
10709at7147	Complete	OZ038372.1	1508477	1510231	+	645.9	396
10730at7147	Complete	OZ038376.1	15441363	15442733	+	573.7	351
10821at7147	Complete	OZ038373.1	133452357	133460248	+	556.5	323
10911at7147	Complete	OZ038374.1	145957670	145951223	-	1116.0	895
11023at7147	Complete	OZ038375.1	116961752	116963312	+	717.7	483
11146at7147	Complete	OZ038371.1	17306873	17308657	+	946.4	532
11268at7147	Complete	OZ038372.1	35104452	35105556	+	544.0	297
11292at7147	Fragmented	OZ038373.1	114238587	114234508	-	883.8	390
11343at7147	Complete	OZ038372.1	149535106	149533954	-	447.2	274
11421at7147	Complete	OZ038372.1	106895964	106878457	-	693.4	401
11457at7147	Complete	OZ038371.1	230102472	230101749	-	307.5	194
11484at7147	Complete	OZ038374.1	100963603	100975406	+	827.0	724
11516at7147	Complete	OZ038372.1	121945672	121947117	+	582.2	386
11534at7147	Complete	OZ038372.1	130704339	130697223	-	720.5	357
